prompt_id,model,content_type,length_tier,token_count,gold_answer,n_samples_attempted,n_valid_samples,pct_unparseable,answer_mean,answer_sd,answer_variance,answer_cv,frac_correct,mean_logprob_entropy_first_k,mean_answer_token_entropy,n_entropy_first_k_obs,n_answer_token_entropy_obs,low_n_flag
gsm8k_0__control__t0,openai/gpt-4.1-mini,control,0,64,18.0,15,0,1.0,,,,,,0.18201128362468602,,15,0,True
gsm8k_0__control__t0,openai/gpt-4.1-nano,control,0,64,18.0,15,2,0.8666666666666667,18.0,0.0,0.0,0.0,1.0,0.22830857085292586,0.005671844855708408,15,2,True
gsm8k_0__control__t0,openai/gpt-4o-mini,control,0,64,18.0,15,10,0.33333333333333337,18.0,0.0,0.0,0.0,1.0,0.33228903141004623,1.1618323006367093e-08,15,10,False
gsm8k_0__filler__t2,openai/gpt-4.1-mini,filler,2,315,18.0,15,0,1.0,,,,,,0.16390530967424866,,15,0,True
gsm8k_0__filler__t2,openai/gpt-4.1-nano,filler,2,315,18.0,15,4,0.7333333333333334,11.0,8.082903768654761,65.33333333333333,0.7348094335140692,0.5,0.2582476257007634,0.0022312655315968443,15,4,True
gsm8k_0__filler__t2,openai/gpt-4o-mini,filler,2,315,18.0,15,1,0.9333333333333333,18.0,,,,,0.24676705699282964,6.799901963337082e-09,15,1,True
gsm8k_0__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,166,18.0,15,0,1.0,,,,,,0.23535996765583764,,15,0,True
gsm8k_0__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,166,18.0,15,0,1.0,,,,,,0.1426508986094623,,15,0,True
gsm8k_0__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,166,18.0,15,1,0.9333333333333333,18.0,,,,,0.29468609354425307,7.907100924367366e-09,15,1,True
gsm8k_0__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,302,18.0,15,0,1.0,,,,,,0.4621024945593185,,15,0,True
gsm8k_0__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,302,18.0,15,4,0.7333333333333334,7.75,2.5,6.25,0.3225806451612903,0.0,0.4786471586229765,0.03315518189905406,15,4,True
